Compound ID,InChIKey,SMILES,LogS
A-1762,LIINGNMKNRSOGW-UHFFFAOYSA-N,C=CCCCCCC=O,-1.9972521926
A-1769,IVRIRQXJSNCSPQ-UHFFFAOYSA-N,CC(C)OC(Cl)=O,-0.9882911293
A-1772,HWCUCNKPBMGSSC-UHFFFAOYSA-N,CC(=O)OC(=C)c1ccccc1,-2.1135953878
A-1773,GSIXJEIRJVOUFB-UHFFFAOYSA-N,CCOC(=O)CC1(C)OCC(C)O1,-2.1798872233
A-1776,RUGISKODRCWQNE-UHFFFAOYSA-N,Cc1ccccc1CCO,-1.042878011
A-1779,JQVAPEJNIZULEK-UHFFFAOYSA-N,Oc1ccc(Cl)c(O)c1,-1.070567643
A-1780,LCYXQUJDODZYIJ-UHFFFAOYSA-N,CC1(C)C2CC(O)C(=C)C1C2,-2.09612479
A-1781,DKKRDMLKVSKFMJ-UHFFFAOYSA-N,CC(C)C1CCC(O)CC1,-2.0680942751
A-1783,FTZLWXQKVFFWLY-UHFFFAOYSA-L,[Na+].[Na+].CC1=NN(C(=O)C1N=Nc2ccc(cc2)[S]([O-])(=O)=O)c3cc(Cl)c(cc3Cl)[S]([O-])(=O)=O,-0.6605427703
A-1784,FRHBOQMZUOWXQL-UHFFFAOYSA-K,N.[Fe+3].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,0.6609213970000001
A-1785,FPVGTPBMTFTMRT-UHFFFAOYSA-L,[Na+].[Na+].Nc1ccc(cc1[S]([O-])(=O)=O)N=Nc2ccc(cc2)[S]([O-])(=O)=O,-0.5243236254
A-1787,DMQYPVOQAARSNF-UHFFFAOYSA-N,C=CC(=O)OCCCOCC(COCCCOC(=O)C=C)OCCCOC(=O)C=C,-2.5527472821
A-1789,XIICKRYAUAVEQS-UHFFFAOYSA-N,CC(=O)Nc1ccc(cc1)[S](=O)(=O)CCO,-2.3069323017
A-1792,OTXINXDGSUFPNU-UHFFFAOYSA-N,CC(C)(C)c1ccc(C=O)cc1,-3.1309552762
A-1793,SEMRCUIXRUXGJX-UHFFFAOYSA-N,Nc1ccc2cc(ccc2c1)[S](O)(=O)=O,-3.2696160575
A-1794,BKHCAESJENSNLE-UHFFFAOYSA-N,CCC(=O)CCC1C(=CCCC1(C)C)C.OCC#C,-4.3219056885
A-1795,NKRVGWFEFKCZAP-UHFFFAOYSA-N,CCCCC(CC)CO[N+]([O-])=O,-4.1466934911
A-1796,JVBNHJDWWBSWLE-UHFFFAOYSA-N,CCOC1CC(C)CC(C)(C)C1,-4.1342944341
A-1797,DXPPIEDUBFUSEZ-UHFFFAOYSA-N,CC(C)CCCCCOC(=O)C=C,-4.1706554665
A-1798,UEZWYKZHXASYJN-UHFFFAOYSA-N,O=C1N(SC2CCCCC2)C(=O)c3ccccc13,-4.3237941723
A-1799,AYYCRXDSCYPSRP-UHFFFAOYSA-N,Cc1cc(C)c(c(C)c1Nc2ccc(Nc3c(C)cc(C)c(c3C)[S](=O)(=O)NC4CCCCC4)c5C(=O)c6ccccc6C(=O)c25)[S](=O)(=O)NC7CCCCC7,-4.8187034651
A-1800,OUKJZHRCKQJXSU-UHFFFAOYSA-N,Cc1cc(c(O)c(C)c1CC#N)C(C)(C)C,-4.2579024627
A-1801,CJOBVZJTOIVNNF-UHFFFAOYSA-N,S=[Cd],-4.080623481
A-1802,GJDRKHHGPHLVNI-UHFFFAOYSA-N,CCO[P](=O)(Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C)OCC,-4.4728088442
A-1803,NGJMAOMHPSCKKA-UHFFFAOYSA-N,[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Fe+3].[Fe+3].[Mo].[Mo],-4.5716709895
A-1805,JUODUXKPGONLIM-UHFFFAOYSA-L,[Zn++].CC(C)(C)CC(C)(C)CC([O-])=O.CC(C)(C)CC(C)(C)CC([O-])=O,-3.5342880969
A-1806,MTDAKBBUYMYKAR-UHFFFAOYSA-N,CC(CCC=C(C)C)CC#N,-3.104157036
A-1807,MRCKRGSNLOHYRA-UHFFFAOYSA-N,CC(=O)Oc1ccccc1[N+]([O-])=O,-2.1855239105
A-1808,CNXZLZNEIYFZGU-UHFFFAOYSA-N,CCOc1cc(NC(=O)c2ccccc2)c(OCC)cc1N,-2.4057571965
A-1814,CMCWWLVWPDLCRM-UHFFFAOYSA-N,O=C1CCN(N1)c2ccccc2,-1.1448233011
A-1815,VQRBXYBBGHOGFT-UHFFFAOYSA-N,Cc1ccccc1CCl,-3.0813269237
A-1816,XYLMUPLGERFSHI-UHFFFAOYSA-N,CC(=C)c1ccccc1,-3.0080823215
A-1819,HFQLXRQLKSICDE-UHFFFAOYSA-N,[K].CCCCCCCCCCCCCCCCCC.O[P](O)(O)=O,-3.5298030639
A-1821,WMWBFVSTSRDWRL-UHFFFAOYSA-N,[K+].O[Si]([O-])=O,-3.0044671735
A-1822,ADPGKKZKGXANON-UHFFFAOYSA-N,O.O.O.O.O.[Na+].[Na+].[O-][Si]([O-])=O,-3.2659206297
A-1825,GKDXQAKPHKQZSC-UHFFFAOYSA-L,[Cd++].[O-]C([O-])=O,-2.1796827894
A-1826,OSMAJVWUIUORGC-WAYWQWQTSA-N,CC\C=C/CCOC(=O)C(C)C,-3.1741873711
A-1827,PAGCKSAVALMKPU-UHFFFAOYSA-N,Cc1cc(C)c(c(C)c1Nc2ccc(Nc3c(C)cc(C)c(c3C)[S](O)(=O)=O)c4C(=O)c5ccccc5C(=O)c24)[S](O)(=O)=O.NCCCCCCN,-2.8206093768
A-1829,MIZGSAALSYARKU-UHFFFAOYSA-N,CC1C(C)(C)C2=C(C(=O)CCC2)C1(C)C,-3.2653422506
A-1832,UUAGPGQUHZVJBQ-UHFFFAOYSA-N,CC(C)(c1ccc(OCCO)cc1)c2ccc(OCCO)cc2,-3.4517905533999995
A-1833,UAOMVDZJSHZZME-UHFFFAOYSA-N,CC(C)NC(C)C,0.0362422138
A-1835,DFPMSGMNTNDNHN-ZPHOTFPESA-N,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2Oc3cc(O)c4C(=O)C[C@H](Oc4c3)c5ccc(O)cc5)[C@H](O)[C@H](O)[C@H]1O,-2.7224387153
A-1836,OQBLGYCUQGDOOR-UHFFFAOYSA-L,[Sn++].[O-]C(=O)C([O-])=O,-2.2740087187
A-1837,ZLNQQNXFFQJAID-UHFFFAOYSA-L,[Mg++].[O-]C([O-])=O,-2.8845018574
A-1840,UEKHZPDUBLCUHN-UHFFFAOYSA-N,CC(CCNC(=O)OCCOC(=O)C(C)=C)CC(C)(C)CNC(=O)OCCOC(=O)C(C)=C,-4.619923834
A-1843,XRKJBJLXKLOLKS-UHFFFAOYSA-N,CCC(CC)CC1(CCCCC1)C(O)=O,-4.281694517
A-1844,JBSLOWBPDRZSMB-BQYQJAHWSA-N,CCCCOC(=O)\C=C\C(=O)OCCCC,-4.3135515372
A-1850,STVZJERGLQHEKB-UHFFFAOYSA-N,CC(=C)C(=O)OCCOC(=O)C(C)=C,-2.2613132646
A-1853,NQMRYBIKMRVZLB-UHFFFAOYSA-N,[Cl-].C[NH3+],-1.796002246
A-1855,KDEGXTBNBBKAJX-UHFFFAOYSA-N,Cc1cccc(C)c1C.C2Cc3ccccc3C2.C4C=Cc5ccccc45,-3.51623781
A-1857,MOZDKDIOPSPTBH-UHFFFAOYSA-N,Oc1ccc(cc1)C(=O)OCc2ccccc2,-3.3249813225
A-1859,ZWKNLRXFUTWSOY-QPJJXVBHSA-N,N#C/C=C/c1ccccc1,-2.0829703418000003
A-1860,BCLOBWIFURSERL-UHFFFAOYSA-N,Nc1cccc(c1)[S](=O)(=O)CCO[S](O)(=O)=O,-1.4238808493
A-1861,UZFLPKAIBPNNCA-BQYQJAHWSA-N,CC(=O)/C=C/C1C(=CCCC1(C)C)C,-3.2586779358
A-1864,GRGSHONWRKRWGP-UHFFFAOYSA-N,Nc1cc(ccc1C(O)=O)[S](O)(=O)=O,-1.3156745209
A-1866,LSBJGNGGNXAKCL-UHFFFAOYSA-M,[Na+].CN(C1CCCCC1)[S](=O)(=O)c2ccccc2NNC3=C4C(=O)C=C(C=C4C=CC3=N)[S]([O-])(=O)=O,-2.7116859389
A-1867,NMBQBIACXMPEQB-UHFFFAOYSA-N,CCCCOCCOC(=O)c1ccccc1,-3.3224225356
A-1868,GVBHRNIWBGTNQA-UHFFFAOYSA-N,COc1cc(ccc1N)[N+]([O-])=O,-3.2045127381
A-1869,WGPCGCOKHWGKJJ-UHFFFAOYSA-N,S=[Zn],-2.9676237394
A-1870,DMQQXDPCRUGSQB-UHFFFAOYSA-N,OC(=O)CN(CCCN(CC(O)=O)CC(O)=O)CC(O)=O,-1.4690725372
A-1871,ZRTWIJKGTUGZJY-UHFFFAOYSA-N,Oc1cc(F)c(F)c(F)c1,-0.1536096917
A-1873,ZFOZVQLOBQUTQQ-UHFFFAOYSA-N,CCCCOC(=O)CC(O)(CC(=O)OCCCC)C(=O)OCCCC,-3.5452709716000004
A-1874,LICUDMOFXVHDPB-UHFFFAOYSA-N,CC1C=C(C)CCC1COC(C)=O,-3.2503985577
A-1875,ZNYBQVBNSXLZNI-UHFFFAOYSA-N,CCCCC(CC)COC(=O)CC#N,-3.2864784846
A-1876,ULGNLQBHIXGZMQ-UHFFFAOYSA-L,[Pb++].[O-][S]([O-])(=O)=O.O=[Pb].O=[Pb].O=[Pb],-3.9794501756
A-1879,DECIPOUIJURFOJ-UHFFFAOYSA-N,CCOc1ccc2NC(C)(C)C=C(C)c2c1,-3.332762335
A-1884,DDRPCXLAQZKBJP-UHFFFAOYSA-N,NCc1occc1,1.0127047417
A-1886,PUNGSQUVTIDKNU-UHFFFAOYSA-N,C[Si]1O[Si](C)O[Si](C)O[Si](C)O[Si](C)O1,0.5292955703
A-1887,FPZWZCWUIYYYBU-UHFFFAOYSA-N,CCOCCOCCOC(C)=O,0.7539645195999999
A-1890,GBFVZTUQONJGSL-UHFFFAOYSA-N,CC(=C)O[Si](OC(C)=C)(OC(C)=C)C=C,0.6452233386
A-1892,WERYXYBDKMZEQL-UHFFFAOYSA-N,OCCCCO,1.0451691789
A-1893,HTDJPCNNEPUOOQ-UHFFFAOYSA-N,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,0.652738306
A-1898,HWCKGOZZJDHMNC-UHFFFAOYSA-M,[Br-].CC[N+](CC)(CC)CC,0.6774520067
A-1900,MQGFFOISLVUDQU-UHFFFAOYSA-N,[K+].C[Si](O)(O)[O-],0.8786634333
A-1901,OGZPYBBKQGPQNU-DABLZPOSSA-N,CC/C(C)=N/O[Si@](C)(O\N=C(C)\CC)O\N=C(C)\CC,-0.4792340167
A-1902,MHAJPDPJQMAIIY-UHFFFAOYSA-N,OO,0.4683422926
A-1903,WZRZTHMJPHPAMU-UHFFFAOYSA-L,[Na+].[Na+].CC1=CC(/C=C(C1=N)[S]([O-])(=O)=O)=C(/c2ccc(N)c(c2)[S](O)(=O)=O)c3ccc(N)c(c3)[S]([O-])(=O)=O,-1.7675632436000002
A-1904,NJESAXZANHETJV-UHFFFAOYSA-N,Cc1ccc(C(O)=O)c(O)c1,-1.1822691023
A-1907,PPDRLQLKHRZIJC-UHFFFAOYSA-N,OC(=O)c1cc(ccc1O)[N+]([O-])=O,-2.2627334080000003
A-1912,HFZKOYWDLDYELC-UHFFFAOYSA-N,Cc1ccc(cc1C)[N+]([O-])=O,-3.1794512484
A-1913,BASMANVIUSSIIM-UHFFFAOYSA-N,ClCc1ccccc1Cl,-3.2069094899
A-1914,SUSQOBVLVYHIEX-UHFFFAOYSA-N,N#CCc1ccccc1,-3.0687460001
A-1916,AZZWZMUXHALBCQ-UHFFFAOYSA-N,Cc1cc(Cc2cc(C)c(O)c(C)c2)cc(C)c1O,-3.4088248510000003
A-1921,GVGUFUZHNYFZLC-UHFFFAOYSA-N,[Na].CCCCCCCCCCCCO[S](=O)(=O)c1ccccc1,-3.543437239
A-1922,XFRVVPUIAFSTFO-UHFFFAOYSA-N,CCCCCCCCCCCCCO,-3.3018240282
A-1923,ANERHPOLUMFRDC-UHFFFAOYSA-K,[Bi+3].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,-4.5597626401
A-1925,ZHWLEUGSDGROJS-UHFFFAOYSA-N,CCOC(=O)OC1CCCCC1C(C)(C)C,-4.3211402828
A-1926,PGYPOBZJRVSMDS-UHFFFAOYSA-N,[H+].[Cl-].CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4,-4.6731215617
A-1927,PKHMTIRCAFTBDS-UHFFFAOYSA-N,CCCCCC(=O)OC(=O)CCCCC,-4.296805043
A-1930,KYWIYKKSMDLRDC-UHFFFAOYSA-N,CCCCCCCCCC(C)=O,-4.2018206695
A-1931,BIISIZOQPWZPPS-UHFFFAOYSA-N,CC(C)(C)OOC(C)(C)c1ccccc1,-4.2909341502
A-1933,RZBBHEJLECUBJT-UHFFFAOYSA-N,CC(C)CCCCCOC(=O)CS,-4.2850368969
A-1934,XWJBRBSPAODJER-UHFFFAOYSA-N,C=CCCCCC=C,-4.0232731502
A-1939,FINOAUDUYKVGDS-WDEREUQCSA-N,CC(=O)O[C@@H]1CCCC[C@@H]1C(C)(C)C,-4.2973358545
A-1942,WWVIUVHFPSALDO-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)NCCCN(C)C,-4.5666142382
A-1944,AXECONFFMZNCKN-SRZPWQCFSA-N,[Na+].O[S](=O)(=O)c1ccc(cc1)N=Nc2ccc(N\N=C3/C(=O)C=Cc4ccccc34)cc2,-4.65844166
A-1946,VTHJTEIRLNZDEV-UHFFFAOYSA-L,[OH-].[OH-].[Mg++],-4.4691448782
A-1949,YZYRWEREXOLDRZ-UHFFFAOYSA-N,CC(=C)C1CCC(=CC1)C.CC2=CCC3CC2C3(C)C.CC45CCC(CC4)C(C)(C)O5,-5.3356859318000005
A-1954,PDZKZMQQDCHTNF-UHFFFAOYSA-M,[Cu+].[S-]C#N,-4.8040109101
A-1956,MBUAAMOJATXYKR-UHFFFAOYSA-N,Nc1ccc(O[P](=S)(Oc2ccc(N)cc2)Oc3ccc(N)cc3)cc1,-5.3094071365
A-1958,VIYWVRIBDZTTMH-UHFFFAOYSA-N,CC(=C)C(=O)OCCOc1ccc(cc1)C(C)(C)c2ccc(OCCOC(=O)C(C)=C)cc2,-5.3792018861
A-1959,YPZUZOLGGMJZJO-LQKXBSAESA-N,CC1(C)CCC[C@@]2(C)[C@H]1CC[C@@]3(C)OCC[C@H]23,-5.0994877858
A-1960,YPZUZOLGGMJZJO-UHFFFAOYSA-N,CC1(C)CCCC2(C)C1CCC3(C)OCCC23,-5.0994877858
A-1961,MPKOLWUWOADQCX-BMRADRMJSA-N,CCCCC\C(=C/c1ccccc1)C(OCC)OCC,-5.1720565184
A-1963,NZPIUJUFIFZSPW-UHFFFAOYSA-H,[La+3].[La+3].[O-]C([O-])=O.[O-]C([O-])=O.[O-]C([O-])=O,-5.3958921156
A-1967,CRRLDLPBQWRVGN-UHFFFAOYSA-N,CC(=O)CC(=O)Nc1ccc(cc1C)c2ccc(NC(=O)CC(C)=O)c(C)c2,-5.3250182341
A-1968,MSRUOXBBGPWHEG-UHFFFAOYSA-N,CC(=O)Nc1ccc(NC(=O)c2cc3ccccc3cc2O)cc1,-5.2503495118
A-1969,XZOACPDZZYNJER-UHFFFAOYSA-N,Cc1ccc(Cl)cc1NC(=O)c2cc3ccccc3cc2O,-5.2385590319
A-1970,ZBAQHMBLDSQPHC-UHFFFAOYSA-K,[OH-].[OH-].[OH-].[Nd+3],-5.0353430041000005
A-1973,IUJLOAKJZQBENM-UHFFFAOYSA-N,CC(C)(C)NSc1sc2ccccc2n1,-5.136722389
A-1974,PORWMNRCUJJQNO-UHFFFAOYSA-N,[Te],-4.875401753
A-1978,XQPZQXTWYZAXAK-UHFFFAOYSA-N,CCCC(=O)OCCC(C)CCC=C(C)C,-5.142612080899999
A-1981,UIXFPIHXQQZAGX-UHFFFAOYSA-N,COc1ccc(NC(=O)c2cc3ccccc3cc2O)cc1,-5.2632246549
A-1982,SIZDMAYTWUINIG-UHFFFAOYSA-N,CC(c1ccc(OC#N)cc1)c2ccc(OC#N)cc2,-5.2179508887
A-1984,SBOSGIJGEHWBKV-UHFFFAOYSA-L,CCCCCCCC[Sn](Cl)(Cl)CCCCCCCC,-5.4150412012
A-1985,GEZAXHSNIQTPMM-UHFFFAOYSA-N,[O--].[O--].[O--].[Dy+3].[Dy+3],-5.3675853562
A-1986,HFJRKMMYBMWEAD-UHFFFAOYSA-N,CCCCCCCCCCCC=O,-5.0614595476
A-1991,QOYINWMUFFDLBI-UHFFFAOYSA-N,CCC1(C)Nc2cccc3cccc(N1)c23,-3.2477605654
A-1994,FRQDZJMEHSJOPU-UHFFFAOYSA-N,CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC,-5.4201521344
A-1995,UKDKXXBYNYCFSX-UHFFFAOYSA-N,CC(=C)c1ccc(cc1)C(=O)C(C)(C)O.CC(C)(O)C(=O)c2ccc(cc2)C3(C)CC(C)(C)c4cc(ccc34)C(=O)C(C)(C)O.CC(C)(O)C(=O)c5ccc(cc5)C6(C)CC(C)(C)c7ccc(cc67)C(=O)C(C)(C)O,-5.8273288792
A-1997,RHEVAQGXLUQWBM-UHFFFAOYSA-N,Nc1c(ccc2C(=O)c3ccccc3C(=O)c12)c4oc5cc6C(=O)c7ccccc7C(=O)c6cc5n4,-5.4964129822
A-1998,FYJKEJZGNQVNLC-UHFFFAOYSA-N,CCOc1ccc(NC(=O)c2cc3ccccc3cc2O)cc1,-5.311540545400001
A-1999,XDWATWCCUTYUDE-UHFFFAOYSA-N,COc1cc(OC)c(NC(=O)c2cc3ccccc3cc2O)cc1Cl,-5.3775405806
A-2000,AAKMSGQPNUGLAZ-UHFFFAOYSA-N,O=C(Nc1cccc2C(=O)c3c4[nH]c5c(cc(NC(=O)c6ccccc6)c7C(=O)c8ccccc8C(=O)c57)c4ccc3C(=O)c12)c9ccccc9,-5.647161854
A-2001,CXSKVBXJDSVPKS-UHFFFAOYSA-N,COc1ccc(cc1)C(=O)CSc2cccc(OC)c2,-5.284725265
A-2004,HHKPGQSPFVLKMV-UHFFFAOYSA-N,O=C1c2ccccc2C(=O)c3c4Nc5ccc6c7ccccc7C(=O)c8ccc(c4ccc13)c5c68,-5.506567842999999
A-2005,GAUFKBQSTGCCOC-UHFFFAOYSA-N,CC1(C)CO[P](=S)(OC1)O[P]2(=S)OCC(C)(C)CO2,-5.393383394500001
A-2007,FAMJUFMHYAFYNU-UHFFFAOYSA-N,CC(C)C1CCC(=CC1)C,-5.0103439368
A-2008,BKKWPPMEXIXECW-UHFFFAOYSA-N,OC(=O)CCCCCNc1nc(NCCCCCC(O)=O)nc(NCCCCCC(O)=O)n1,-2.5423613079
A-2009,LVGFPWDANALGOY-UHFFFAOYSA-N,CC(C)CCCCCCCOC(=O)C=C,-5.1999126975
A-2011,NFAVNWJJYQAGNB-UHFFFAOYSA-N,CCCCCCCCCC(C)C=O,-5.151636178
A-2012,OAZWDJGLIYNYMU-UHFFFAOYSA-N,CN(C)c1ccc(cc1)C(c2ccc(cc2)N(C)C)c3ccc(cc3)N(C)C,-5.4583984126999985
A-2013,SQORATIMOBOFKR-UHFFFAOYSA-H,[Gd+3].[Gd+3].[O-]C(=O)C([O-])=O.[O-]C(=O)C([O-])=O.[O-]C(=O)C([O-])=O,-5.648400548200001
A-2015,VWQVUPCCIRVNHF-UHFFFAOYSA-N,[Y],-4.8349877189
A-2016,CNRPDCKHCGUKDK-UHFFFAOYSA-N,O=C1c2cccc(Sc3ccccc3)c2C(=O)c4c(Sc5ccccc5)cccc14,-5.517335043099999
A-2017,HPZIIFVSYNLWNX-UHFFFAOYSA-N,[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Pr+3].[Pr+3].[Pr+3].[Pr+3].[Pr+3].[Pr+3],-5.905407864500001
A-2019,SVOBELCYOCEECO-UHFFFAOYSA-N,Cc1cc(ccc1O)C2(CCCCC2)c3ccc(O)c(C)c3,-5.3715223063
A-2022,WANIKCLUTOABTP-LRZQPWDCSA-L,[Ca++].Cc1ccc(N\N=C\2C(=O)C(=Cc3ccccc23)C([O-])=O)c(c1)[S]([O-])(=O)=O,-5.5486422223
A-2025,ROPXFXOUUANXRR-BUHFOSPRSA-N,CCCCC(CC)COC(=O)\C=C\C(=O)OCC(CC)CCCC,-5.4565752567
A-2026,DYJIIMFHSZKBDY-UHFFFAOYSA-N,CC(C)(COC(=O)c1ccccc1)COC(=O)c2ccccc2,-5.4227803586
A-2029,JBCDXVJTWRWCSR-UHFFFAOYSA-L,[Ca++].O[PH]([O-])=O.O[PH]([O-])=O,-5.253149755
A-2030,VQNUNMBDOKEZHS-UHFFFAOYSA-N,CCOCOC1CCCCCCCCCCC1,-5.335319967699999
A-2032,VEORPZCZECFIRK-UHFFFAOYSA-N,CC(C)(c1cc(Br)c(O)c(Br)c1)c2cc(Br)c(O)c(Br)c2,-5.6941064111
A-2033,JANBFCARANRIKJ-UHFFFAOYSA-N,CC(C)CCOC(=O)c1ccccc1C(=O)OCCC(C)C,-5.444898910599999
A-2035,RKQOSDAEEGPRER-UHFFFAOYSA-L,[Zn++].CCN(CC)C([S-])=S.CCN(CC)C([S-])=S,-5.5333331166
A-2036,OWICEWMBIBPFAH-UHFFFAOYSA-N,O=[P](Oc1ccccc1)(Oc2ccccc2)Oc3cccc(O[P](=O)(Oc4ccccc4)Oc5ccccc5)c3,-5.7380720068
A-2039,VOWAEIGWURALJQ-UHFFFAOYSA-N,O=C(OC1CCCCC1)c2ccccc2C(=O)OC3CCCCC3,-5.5126055421
A-2041,VTHUYJIXSMGYOQ-UHFFFAOYSA-N,CC(=O)OC1(CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C)C(C)=O,-5.5668107327
A-2042,LPMBTLLQQJBUOO-MDZDMXLPSA-N,CCCCCCCC/C=C/CCCCCCCC(=O)N(CCO)CCO,-5.567720212
A-2043,YUOKTNQLLUHUEK-UHFFFAOYSA-N,CCOC(=O)C(=Cc1ccc(cc1)C=C(C(=O)OCC)C(=O)OCC)C(=O)OCC,-5.6216352692
A-2045,MJQVZIANGRDJBT-VAWYXSNFSA-N,O=C(OCCc1ccccc1)/C=C/c2ccccc2,-5.4019396274
A-2046,OTGQIQQTPXJQRG-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)NCCO,-5.5152815814
A-2047,OHAXNCGNVGGWSO-UHFFFAOYSA-N,Oc1cc2ccccc2cc1C(=O)Nc3ccc(Cl)cc3,-5.4738386427
A-2049,FLPKSBDJMLUTEX-UHFFFAOYSA-N,CCCCC(Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C)(C(=O)OC2CC(C)(C)N(C)C(C)(C)C2)C(=O)OC3CC(C)(C)N(C)C(C)(C)C3,-5.8357203688
A-2053,WUZSFIKFFXBHMB-UHFFFAOYSA-N,Fc1ccccc1C(=O)c2cc(Cl)ccc2NC(=O)CBr,-5.5693457861
A-2055,HQKQRXZEXPXXIG-GXTNNVKYSA-N,C[C@@H]1CC[C@H]2C(C)(C)C3CC12CCC3(C)OC(C)=O,-5.4266410391
A-2057,ULQISTXYYBZJSJ-UHFFFAOYSA-N,CCCCCCC(O)CCCCCCCCCCC(O)=O,-5.4883700889
A-2060,YMEPVPIIHONYLV-UHFFFAOYSA-N,O=C1n2c3ccccc3nc2c4ccc5c6nc7ccccc7n6C(=O)c8ccc1c4c58,-5.633055848200001
A-2062,LPMJODPDQRKJEH-LRZQPWDCSA-L,[Ba++].Cc1ccc(N\N=C\2C(=O)C(=Cc3ccccc23)C([O-])=O)c(c1)[S]([O-])(=O)=O,-5.7351471063
A-2063,AHZMUXQJTGRNHT-UHFFFAOYSA-N,CC(C)(c1ccc(OC#N)cc1)c2ccc(OC#N)cc2,-5.4695583775
A-2065,VXCUURYYWGCLIH-UHFFFAOYSA-N,CCCCCCCCCCCC#N,-5.2899699473
A-2073,GPAPPPVRLPGFEQ-UHFFFAOYSA-N,Clc1ccc(cc1)[S](=O)(=O)c2ccc(Cl)cc2,-5.5236360799
A-2077,ZJNLYGOUHDJHMG-UHFFFAOYSA-N,CC(C)CCC(C)Nc1ccc(NC(C)CCC(C)C)cc1,-5.5751336546
A-2079,WKHTUDYDJUHYMK-UHFFFAOYSA-N,CC(CO)C1CCCCCCCCCCC1,-5.4517941085000015
A-2083,KISVAASFGZJBCY-UHFFFAOYSA-N,COC(=O)CCCCCCCCC=C,-5.3975153521
A-2084,SYHCUZIBEFBVNF-UHFFFAOYSA-H,[Al+3].[Al+3].[O-]C(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C2=C3C=C(Br)C(=O)C(=C3Oc4c(Br)c([O-])c(Br)cc24)Br.[O-]C(=O)c5c(Cl)c(Cl)c(Cl)c(Cl)c5C6=C7C=C(Br)C(=O)C(=C7Oc8c(Br)c([O-])c(Br)cc68)Br.[O-]C(=O)c9c(Cl)c(Cl)c(Cl)c(Cl)c9C%10=C%11C=C(Br)C(=O)C(=C%11Oc%12c(Br)c([O-])c(Br)cc%10%12)Br,-6.4900690111
A-2085,TYIXMATWDRGMPF-UHFFFAOYSA-N,[O--].[O--].[O--].[Bi+3].[Bi+3],-5.777924821699999
A-2087,NLZUEZXRPGMBCV-UHFFFAOYSA-N,Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,-5.462311288
A-2088,HXKIEMJEEMWSAX-UHFFFAOYSA-N,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)C=C.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)C=C.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)C=C.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)C=C,-6.4814770267
A-2089,LAVMWOGIDKQCDK-UHFFFAOYSA-N,CCC(C)c1cc(C(C)CC)c(O)c(c1)C(C)CC,-5.5497933448
A-2091,KEQFTVQCIQJIQW-UHFFFAOYSA-N,N(c1ccccc1)c2ccc3ccccc3c2,-5.4959148461
A-2093,APUGIHICMSAKGR-UHFFFAOYSA-N,O=[Y],-5.1756981481
A-2094,RUDFQVOCFDJEEF-UHFFFAOYSA-N,[O--].[O--].[O--].[Y+3].[Y+3],-5.5086432075
A-2095,UEGBWDUVDAKUGA-UHFFFAOYSA-N,CC(CCCC(C)C=O)CCC=C(C)C,-5.496890424
A-2096,UHJVLUYSDYOULM-UHFFFAOYSA-N,CC(C)CCC(C)Nc1ccc(Nc2ccccc2)cc1,-5.6248375610000005
A-2097,ABRIMXGLNHCLIP-VURMDHGXSA-N,O=C1CCCCCCCCCC\C=C/CCC1,-5.5607322784000015
A-2098,MEEGGHJZTZFSBQ-UHFFFAOYSA-N,COC1=CCC2=C(CCC3C2CCC4(C)C3CCC4(O)C#N)C1,-5.6832424476
A-2099,PHNCACYNYORRNS-UHFFFAOYSA-N,CC1(C)CCCC2(C)C1CCC34COC(C)(CCC23)O4,-5.6453848366
A-2100,CFJYNSNXFXLKNS-UHFFFAOYSA-N,CC1CCC(CC1)C(C)C,-5.3545731075
